Row_ID,Brand,Model,Battery,km_of_range,0-100,Top_Speed,Range,Efficiency,Fastcharge,Germany_price_before_incentives,Netherlands_price_before_incentives,UK_price_after_incentives,Drive_Configuration,Tow_Hitch,Towing_capacity_in_kg,Number_of_seats,Estimated_US_Value
1,TESLA,Model 3,59.3,124.0,6.1,a2,415.0,139.0,690.0,41970.0,41990.0,39990.0,Front Wheel Drive,Towbar possible,1000.0,5.0,49511.0
2,TESLA,Model Y,57.5,137.0,6.9,a2,350.0,160.0,580.0,45970.0,43490.0,44990.0,Rear Wheel Drive,Towbar possible,1600.0,5.0,56057.0
30,TESLA,Model Y Long Range Dual Motor,75.0,130.0,5.0,a2,435.0,172.0,670.0,55970.0,52990.0,52990.0,All Wheel Drive,Towbar possible,1600.0,5.0,65788.0
40,TESLA,Model 3 Long Range Dual Motor,75.0,119.0,4.4,a2,500.0,150.0,770.0,49970.0,49990.0,49990.0,All Wheel Drive,Towbar possible,1000.0,5.0,62287.0
50,TESLA,Model Y Long Range RWD,75.0,118.0,5.9,a2,390.0,163.0,710.0,49970.0,49990.0,0.0,Rear Wheel Drive,Towbar possible,1600.0,5.0,27927.0
6,BYD,ATTO 3,60.5,120.0,7.3,a1,330.0,183.0,370.0,37990.0,38990.0,37195.0,Front Wheel Drive,Towbar not possible,0.0,5.0,46344.0
7,MG,MG4 Electric 64 kWh,61.7,102.0,7.9,a1,360.0,171.0,630.0,39990.0,35785.0,36350.0,Rear Wheel Drive,Towbar possible,500.0,5.0,36750.0
8,BYD,SEAL 82.5 kWh AWD Excellence,82.5,107.0,3.8,a1,490.0,168.0,540.0,50990.0,50990.0,48695.0,All Wheel Drive,Towbar not possible,0.0,5.0,60673.0
9,TESLA,Model Y Performance,75.0,152.0,3.8,a2,415.0,181.0,640.0,60790.0,58990.0,59990.0,All Wheel Drive,Towbar possible,900.0,5.0,74747.0
10,BMW,i4 eDrive40,80.7,122.0,5.7,a1,515.0,157.0,800.0,55519.0,62992.0,57890.0,Rear Wheel Drive,Towbar possible,1600.0,5.0,72130.0
110,CITROEN,e-C3,44.0,90.0,11.0,a1,265.0,166.0,340.0,23300.0,24290.0,21000.0,Front Wheel Drive,Towbar possible,550.0,5.0,26166.0
12,BMW,VF 8 Plus Extended Range,71.0,225.0,6.0,a1,360.0,197.0,480.0,77300.0,84998.0,69905.0,All Wheel Drive,Towbar possible,2500.0,5.0,87101.0
130,ROLLS-ROYCE,ID.4 Pro,77.0,114.0,6.7,a1,435.0,177.0,650.0,49490.0,49990.0,46035.0,Rear Wheel Drive,Towbar possible,1000.0,5.0,57359.0
140,BYD,DOLPHIN 60.4 kWh,60.5,101.0,7.0,a1,340.0,178.0,340.0,34990.0,35490.0,30195.0,Front Wheel Drive,Towbar possible,0.0,5.0,37622.0
150,VOLVO,EX30 Single Motor ER,64.0,118.0,8.0,a1,360.0,174.0,600.0,46450.0,41495.0,38545.0,Rear Wheel Drive,Towbar possible,1400.0,5.0,48027.0
16,TESLA,Model S Plaid,95.0,199.0,2.3,a3,560.0,170.0,780.0,110970.0,108990.0,100000.0,All Wheel Drive,Towbar possible,1600.0,5.0,124600.0
17,TESLA,Model S Dual Motor,95.0,167.0,3.2,a2,510.0,165.0,800.0,95970.0,93990.0,85000.0,All Wheel Drive,Towbar possible,1600.0,5.0,105910.0
18,KIA,Niro EV,64.8,111.0,7.8,a1,395.0,168.0,390.0,45690.0,43490.0,37295.0,Front Wheel Drive,Towbar possible,750.0,5.0,46469.0
19,LEXUS,Model Y Long Range Dual Motor,65.4,116.0,7.8,a1,390.0,168.0,400.0,47190.0,43995.0,38595.0,Front Wheel Drive,Towbar possible,750.0,5.0,48089.0
20,TESLA,Model 3 Performance,75.0,135.0,3.2,a3,455.0,165.0,700.0,57970.0,56990.0,59990.0,All Wheel Drive,Towbar not possible,0.0,5.0,74747.0
210,SSANGYONG,HAN,84.0,146.0,3.9,a1,475.0,180.0,450.0,69020.0,69990.0,0.0,All Wheel Drive,Towbar not possible,1200.0,5.0,39100.0
22,CUPRA,Born 150 kW - 58 kWh,58.0,113.0,7.3,a1,320.0,166.0,470.0,39370.0,36939.0,36475.0,Rear Wheel Drive,Towbar not possible,0.0,5.0,45447.0
